waiting_for_preposition_en	esperando_a_preposition_es
gazan_adjective_en	gazatí_adjective_es
beginning_noun_en	principio_noun_es
hypotension_noun_en	hipotensión_noun_es
objection_noun_en	objeción_noun_es
set_up_verb_en	instalar_verb_es
piece_noun_en	trozo_noun_es
warm_up_verb_en	acalorar_verb_es
selectable_adjective_en	seleccionable_adjective_es
côte_d'azur_propernoun_en	costa_azul_propernoun_es
notarise_verb_en	instrumentar_verb_es
suburb_noun_en	suburbio_noun_es
municipality_noun_en	municipio_noun_es
flatulence_noun_en	flatulencia_noun_es
self-portrait_noun_en	autorretrato_noun_es
echidna_noun_en	equidna_noun_es
pharmacy_noun_en	farmacia_noun_es
gibrán_propernoun_en	gibrán_propernoun_es
preclude_verb_en	impedir_verb_es
calibrate_verb_en	calibrar_verb_es
dehumanisation_noun_en	deshumanización_noun_es
ávila_de_los_caballeros_propernoun_en	ávila_de_los_caballeros_propernoun_es
turnip_noun_en	nabo_noun_es
caring_profession_noun_en	profesión_de_dedicación_humanitaria_noun_es
yearbook_noun_en	anuario_noun_es
boyfriend_noun_en	novio_noun_es
festivity_noun_en	festividad_noun_es
significantly_adverb_en	significativamente_adverb_es
inexpensive_adjective_en	económico_adjective_es
lose_verb_en	perder_verb_es
homestead_noun_en	cortijo_noun_es
reductionist_noun_en	reduccionista_noun_es
depressant_noun_en	depresor_noun_es
atomiser_noun_en	pulverizador_noun_es
cessation_noun_en	cese_noun_es
section_noun_en	sección_noun_es
pear_noun_en	pera_noun_es
turning_point_noun_en	punto_de_inflexión_noun_es
linguistically_adverb_en	lingüísticamente_adverb_es
photo_report_noun_en	fotodenuncia_noun_es
penalty_noun_en	penalización_noun_es
sure_adverb_en	seguro_adverb_es
hollow_noun_en	hondonada_noun_es
insist_verb_en	insistir_verb_es
seriously_adverb_en	seriamente_adverb_es
internally_adverb_en	internamente_adverb_es
chime_noun_en	campanada_noun_es
ferret_noun_en	hurón_noun_es
talisman_noun_en	talismán_noun_es
the_other_evening_adverb_en	el_otro_anochecer_adverb_es
decidua_noun_en	decidua_noun_es
arrest_noun_en	detención_noun_es
airline_noun_en	aerolínea_noun_es
activism_noun_en	activismo_noun_es
acid_noun_en	ácido_noun_es
twitter_propernoun_en	twitter_propernoun_es
territorially_adverb_en	territorialmente_adverb_es
unpack_verb_en	desempaquetar_verb_es
conveniently_adverb_en	convenientemente_adverb_es
reduce_verb_en	reducir_verb_es
sprinkler_noun_en	aspersor_noun_es
kneepad_noun_en	rodillera_noun_es
beatification_noun_en	beatificación_noun_es
in_the_process_adverb_en	en_el_proceso_adverb_es
amyloid_noun_en	amiloide_noun_es
reigning_adjective_en	reinante_adjective_es
course_noun_en	marcha_noun_es
sentimental_adjective_en	sentimental_adjective_es
support_buying_noun_en	compra_proteccionista_noun_es
pomp_noun_en	pompa_noun_es
gentleman_noun_en	señor_noun_es
garzon_propernoun_en	garzon_propernoun_es
survive_verb_en	sobrevivir_verb_es
montpellier_propernoun_en	montpellier_propernoun_es
constructor_noun_en	constructor_noun_es
advancement_noun_en	adelanto_noun_es
right_at_the_end_adverb_en	justo_al_final_adverb_es
auscultate_verb_en	auscultar_verb_es
qu'ran_propernoun_en	corán_propernoun_es
cartoonist_noun_en	dibujante_noun_es
female_noun_en	hembra_noun_es
economics_noun_en	economía_noun_es
mate_verb_en	aparearse_verb_es
contralto_noun_en	contralto_noun_es
over_there_adverb_en	allí_adverb_es
bricklayer_noun_en	albañil_noun_es
andorran_adjective_en	andorrano_adjective_es
oppenheimer_propernoun_en	oppenheimer_propernoun_es
consulate_noun_en	consulado_noun_es
introversion_noun_en	introversión_noun_es
silverware_noun_en	vajilla_de_plata_noun_es
outón_propernoun_en	outón_propernoun_es
secure_adjective_en	seguro_adjective_es
heteronym_noun_en	heterónimo_noun_es
suppress_verb_en	suprimir_verb_es
order_noun_en	orden_noun_es
process_verb_en	procesar_verb_es
by_preposition_en	por_preposition_es
shot_noun_en	rasgo_noun_es
non-payment_noun_en	impago_noun_es
crossbar_noun_en	larguero_noun_es
lloyd_propernoun_en	lloyd_propernoun_es
isdefe_propernoun_en	isdefe_propernoun_es
quick_adjective_en	rápido_adjective_es
checa_propernoun_en	checa_propernoun_es
tie_noun_en	empate_noun_es
volumetric_adjective_en	volumétrico_adjective_es
designer_noun_en	diseñador_noun_es
enlarge_verb_en	ampliar_verb_es
motorcycling_noun_en	motociclismo_noun_es
saudi_noun_en	saudita_noun_es
suede_noun_en	gamuza_noun_es
shaver_noun_en	afeitadora_noun_es
andrea_propernoun_en	andrea_propernoun_es
celebrity_noun_en	celebridad_noun_es
magnificently_adverb_en	magníficamente_adverb_es
riot_noun_en	disturbio_noun_es
conceptualist_adjective_en	conceptualista_adjective_es
meira_propernoun_en	meira_propernoun_es
suggest_verb_en	sugerir_verb_es
adjust_verb_en	ajustar_verb_es
as_their_own_adverb_en	como_propias_adverb_es
corrupt_adjective_en	corrupto_adjective_es
hot_adjective_en	caliente_adjective_es
olympic_game_noun_en	olimpiada_noun_es
heaviness_noun_en	pesadez_noun_es
mutilation_noun_en	mutilación_noun_es
indifferent_adjective_en	indiferente_adjective_es
pompeii_propernoun_en	pompeya_propernoun_es
lightning_noun_en	relámpago_noun_es
deservedly_adverb_en	merecidamente_adverb_es
impudence_noun_en	descaro_noun_es
second_lieutenant_noun_en	alférez_noun_es
semivocal_adjective_en	semivocálico_adjective_es
folding_noun_en	plegamiento_noun_es
grieve_verb_en	apenar_verb_es
go_straight_on_verb_en	seguir_todo_recto_verb_es
package_noun_en	paquete_noun_es
god-given_right_noun_en	derecho_dado_por_dios_noun_es
individually_adverb_en	individualmente_adverb_es
overlapped_adjective_en	superpuesto_adjective_es
liturgy_noun_en	liturgia_noun_es
formula_noun_en	fórmula_noun_es
graduate_verb_en	graduar_verb_es
juan_de_la_cosa_propernoun_en	juan_de_la_cosa_propernoun_es
sacred_adjective_en	sagrado_adjective_es
bee_noun_en	abeja_noun_es
euro-atlantic_adjective_en	euroatlántico_adjective_es
mail_noun_en	mensajería_noun_es
centrifugal_adjective_en	centrífugo_adjective_es
oil_adjective_en	petrolífero_adjective_es
rotor_noun_en	rotor_noun_es
france_propernoun_en	francia_propernoun_es
inventive_adjective_en	ingenioso_adjective_es
homeric_adjective_en	homérico_adjective_es
mark_noun_en	señal_noun_es
term_of_office_noun_en	legislatura_noun_es
argentinian_noun_en	argentino_noun_es
byelorussia_propernoun_en	bielorrusia_propernoun_es
chinese_adjective_en	chino_adjective_es
dinar_noun_en	dinar_noun_es
beneficial_adjective_en	beneficioso_adjective_es
precise_adjective_en	certero_adjective_es
core_of_the_matter_noun_en	fondo_del_asunto_noun_es
poised_adjective_en	preparado_adjective_es
phosphocreatine_noun_en	fosfocreatina_noun_es
issue_noun_en	asunto_noun_es
ship_verb_en	embarcar_verb_es
board_of_trustees_propernoun_en	patronato_propernoun_es
saleswoman_noun_en	agente_vendedor_noun_es
inclusion_noun_en	inclusión_noun_es
exist_verb_en	existir_verb_es
rehabilitation_noun_en	rehabilitación_noun_es
baby-sitter_noun_en	niñera_noun_es
produce_noun_en	producto_noun_es
look_like_verb_en	parecer_verb_es
irons_propernoun_en	irons_propernoun_es
classified_adjective_en	clasificado_adjective_es
noon_noun_en	mediodía_noun_es
graduate_student_noun_en	estudiante_de_posgrado_noun_es
adenosine_triphosphate_noun_en	adenosín_trifosfato_noun_es
chant_noun_en	cántico_noun_es
reform_verb_en	reformar_verb_es
batch_noun_en	tanda_noun_es
taiwan_propernoun_en	taiwán_propernoun_es
pipe-weed_noun_en	hierba_para_pipa_noun_es
derogatory_adjective_en	derogatorio_adjective_es
vlad_iii_dracula_propernoun_en	vlad_iii_draculea_propernoun_es
illogical_adjective_en	ilógico_adjective_es
in_detail_adverb_en	en_detalle_adverb_es
pave_verb_en	adoquinar_verb_es
dynamical_adjective_en	dinámico_adjective_es
tent_noun_en	tienda_noun_es
than_coordinatingconjunction_en	que_coordinatingconjunction_es
assay_noun_en	ensayo_noun_es
rerun_verb_en	reestrenar_verb_es
fully_adverb_en	henchidamente_adverb_es
apocalyptic_adjective_en	apocalíptico_adjective_es
guillotine_noun_en	guillotina_noun_es
rowing_boats'_league_of_galicia_noun_en	liga_gallega_de_traineras_noun_es
diaphragm_noun_en	diafragma_noun_es
molecular_adjective_en	molecular_adjective_es
histology_noun_en	histología_noun_es
alkaline_adjective_en	alcalino_adjective_es
jadeite_noun_en	jadeíta_noun_es
negotiation_noun_en	gestión_noun_es
chronology_noun_en	cronología_noun_es
maintain_the_opposite_verb_en	mantener_lo_contrario_verb_es
therapy_noun_en	terapia_noun_es
surprising_adjective_en	asombroso_adjective_es
presidential_adjective_en	presidencial_adjective_es
maliciousness_noun_en	maldad_noun_es
luxury_noun_en	lujo_noun_es
pour_verb_en	escanciar_verb_es
swift_noun_en	vencejo_noun_es
race_noun_en	raza_noun_es
petty_bourgeois_adjective_en	pequeñoburgués_adjective_es
list_of_titles_noun_en	fondo_editorial_noun_es
akin_adjective_en	semejante_adjective_es
superelevation_noun_en	peralte_noun_es
cid_propernoun_en	cid_propernoun_es
day_noun_en	jornada_noun_es
document_verb_en	documentar_verb_es
viewer_noun_en	espectador_noun_es
editor_noun_en	editor_noun_es
anaerobic_adjective_en	anaeróbico_adjective_es
ladybird_noun_en	mariquita_noun_es
distributor_noun_en	distribuidor_noun_es
detour_noun_en	rodeo_noun_es
endothermic_adjective_en	endotérmico_adjective_es
consumption_noun_en	consumición_noun_es
attach_verb_en	anexar_verb_es
myoglobin_noun_en	mioglobina_noun_es
third_time_lucky_interjection_en	a_la_tercera_va_la_vencida_interjection_es
stress_noun_en	énfasis_noun_es
reentrant_adjective_en	reentrante_adjective_es
edaphology_noun_en	edafología_noun_es
comrade_noun_en	camarada_noun_es
maghreb_propernoun_en	magreb_propernoun_es
particular_reason_noun_en	razón_en_especial_noun_es
drop_noun_en	gota_noun_es
concertante_adjective_en	concertando_adjective_es
gibraltar_propernoun_en	gibraltar_propernoun_es
relocatable_adjective_en	reubicable_adjective_es
awkward_adjective_en	incómodo_adjective_es
squabble_verb_en	reñir_verb_es
come_from_verb_en	provenir_verb_es
genic_adjective_en	génico_adjective_es
cold_front_noun_en	frente_frío_noun_es
accordion_noun_en	acordeón_noun_es
molasses_noun_en	melaza_noun_es
flock_verb_en	acudir_en_masa_verb_es
delegate_noun_en	delegado_noun_es
toronto_propernoun_en	toronto_propernoun_es
in_a_closed_way_adverb_en	cerradamente_adverb_es
joker_noun_en	comodín_noun_es
remain_verb_en	permanecer_verb_es
philippe_propernoun_en	philippe_propernoun_es
escape_noun_en	fuga_noun_es
adenopathy_noun_en	adenopatía_noun_es
depersonalise_verb_en	despersonalizar_verb_es
glad_adjective_en	feliz_adjective_es
condyle_noun_en	cóndilo_noun_es
fortress_noun_en	fortaleza_noun_es
conflictive_adjective_en	conflictivo_adjective_es
fashionable_adjective_en	de_moda_adjective_es
random_adjective_en	aleatorio_adjective_es
mortify_verb_en	mortificar_verb_es
monkey_wrench_noun_en	llave_inglesa_noun_es
signpost_noun_en	panel_noun_es
cosmopolitism_noun_en	cosmopolitismo_noun_es
in_peace_adverb_en	en_paz_adverb_es
korean_adjective_en	coreano_adjective_es
appoint_verb_en	nombrar_verb_es
in_duplicate_adverb_en	por_duplicado_adverb_es
queensland_propernoun_en	queensland_propernoun_es
unless_subordinatingconjunction_en	a_menos_que_subordinatingconjunction_es
laugh_to_the_expense_of_verb_en	reír_a_costa_de_verb_es
out_preposition_en	fuera_de_preposition_es
measurer_noun_en	medidor_noun_es
adaptable_adjective_en	adaptable_adjective_es
marmot_noun_en	marmota_noun_es
kilo_noun_en	kilo_noun_es
taste_verb_en	probar_verb_es
4-3-3_system_noun_en	sistema_4-3-3_noun_es
prominent_adjective_en	prominente_adjective_es
moderately_adverb_en	moderadamente_adverb_es
mitotic_adjective_en	mitótico_adjective_es
hyalite_noun_en	hialita_noun_es
like_that_adverb_en	por_el_estilo_adverb_es
belize_propernoun_en	belice_propernoun_es
at_least_adverb_en	cuando_menos_adverb_es
lethargy_noun_en	letargo_noun_es
raquel_propernoun_en	raquel_propernoun_es
might_modal_en	poder_modal_es
with_confidence_adverb_en	con_desenfado_adverb_es
prophylaxis_noun_en	profilaxis_noun_es
spartan_adjective_en	espartano_adjective_es
attentively_adverb_en	atentamente_adverb_es
transcendental_adjective_en	trascendental_adjective_es
hemiplegia_noun_en	hemiplejia_noun_es
poetry_noun_en	poesía_noun_es
pinch_verb_en	pellizcar_verb_es
servosystem_noun_en	servosistema_noun_es
irrefutable_adjective_en	irrefutable_adjective_es
ascription_noun_en	adscripción_noun_es
legislative_adjective_en	legislativo_adjective_es
bugle_noun_en	clarín_noun_es
for_subordinatingconjunction_en	puesto_que_subordinatingconjunction_es
general_adjective_en	general_adjective_es
chrysolite_noun_en	crisolita_noun_es
buttock_noun_en	nalga_noun_es
ideal_noun_en	ideal_noun_es
nagasaki_propernoun_en	nagasaki_propernoun_es
fishermen's_association_propernoun_en	kofradiaren_propernoun_es
lieberman_propernoun_en	lieberman_propernoun_es
magical_adjective_en	mágico_adjective_es
city_council_noun_en	alcaldía_noun_es
exhibition_noun_en	exhibición_noun_es
tin_noun_en	estaño_noun_es
prospectus_noun_en	prospecto_noun_es
poncho_noun_en	poncho_noun_es
condenser_noun_en	condensador_noun_es
rapport_noun_en	compenetración_noun_es
teaspoon_noun_en	cucharilla_noun_es
once_a_year_adverb_en	una_vez_al_año_adverb_es
by_the_grace_of_god_adverb_en	por_la_gracia_de_dios_adverb_es
exonerate_verb_en	exonerar_verb_es
direct_adjective_en	directo_adjective_es
plural_noun_en	plural_noun_es
get_off_verb_en	marchar_verb_es
glare_noun_en	deslumbramiento_noun_es
indirectly_adverb_en	indirectamente_adverb_es
triviality_noun_en	nimiedad_noun_es
hillary_propernoun_en	hillary_propernoun_es
face_noun_en	cara_noun_es
georgia_propernoun_en	georgia_propernoun_es
furthermore_adverb_en	además_adverb_es
be_due_to_verb_en	deberse_a_verb_es
quaint_adjective_en	pintoresco_adjective_es
monumental_adjective_en	monumental_adjective_es
ciefe_propernoun_en	ciefe_propernoun_es
bite_verb_en	morder_verb_es
bright_adjective_en	brillante_adjective_es
plateresque_adjective_en	plateresco_adjective_es
pan_noun_en	cacerola_noun_es
shit_verb_en	cagar_verb_es
quiver_verb_en	temblar_verb_es
come_back_verb_en	volver_verb_es
columbus_day_propernoun_en	día_de_la_hispanidad_propernoun_es
lepidocrocite_noun_en	lepidocrocita_noun_es
permafrost_noun_en	pergelisol_noun_es
reassign_verb_en	reasignar_verb_es
comeback_noun_en	retorno_noun_es
subjugation_noun_en	subyugación_noun_es
casanova_propernoun_en	casanova_propernoun_es
baia_mare_propernoun_en	baia_mare_propernoun_es
properly_adverb_en	convenientemente_adverb_es
cruelly_adverb_en	cruelmente_adverb_es
sachs_propernoun_en	sachs_propernoun_es
expressionist_adjective_en	expresionista_adjective_es
congolese_noun_en	congoleño_noun_es
novelty_noun_en	primicia_noun_es
austria_propernoun_en	austria_propernoun_es
checkpoint_noun_en	punto_de_control_noun_es
to_a_large_extent_adverb_en	sobremanera_adverb_es
bottomless_adjective_en	sin_fondo_adjective_es
pork_shoulder_noun_en	lacón_noun_es
spare_noun_en	repuesto_noun_es
keep_on_maintaining_verb_en	seguir_sosteniendo_verb_es
homage_noun_en	homenaje_noun_es
marrow_noun_en	meollo_noun_es
start_verb_en	empezar_verb_es
victorious_adjective_en	vencedor_adjective_es
orifice_noun_en	orificio_noun_es
ready_to_operate_adverb_en	a_punto_adverb_es
to_throw_the_baby_out_with_the_bathwater_interjection_en	tirar_las_frutas_frescas_con_las_pochas_interjection_es
airfield_noun_en	aeródromo_noun_es
originality_noun_en	originalidad_noun_es
programmable_adjective_en	programable_adjective_es
chromatography_noun_en	cromatografía_noun_es
income_tax_noun_en	irpf_noun_es
periodically_adverb_en	periódicamente_adverb_es
motherfucker_noun_en	puta_madre_noun_es
anticipation_noun_en	anticipación_noun_es
forecaster_noun_en	meteorólogo_noun_es
modiolus_noun_en	modiolo_noun_es
trivium_noun_en	trivio_noun_es
chávez_propernoun_en	chávez_propernoun_es
canonically_adverb_en	canónicamente_adverb_es
dielectric_noun_en	dieléctrico_noun_es
pre-columbian_adjective_en	precolombino_adjective_es
preferred_stock_noun_en	acción_preferente_noun_es
repulsive_adjective_en	repulsivo_adjective_es
request_verb_en	pedir_verb_es
uterine_adjective_en	uterino_adjective_es
pyrenees_propernoun_en	pirineos_propernoun_es
up_to_now_adverb_en	hasta_ahora_adverb_es
source_noun_en	fuente_noun_es
groan_verb_en	gemir_verb_es
double_adjective_en	doble_adjective_es
monarch_gold_propernoun_en	monarch_gold_propernoun_es
reflation_noun_en	reactivación_noun_es
invincible_adjective_en	invencible_adjective_es
affordable_adjective_en	asequible_adjective_es
myxoma_noun_en	mixoma_noun_es
retaliation_noun_en	represalia_noun_es
annex_noun_en	anexo_noun_es
royal_academy_propernoun_en	real_academia_propernoun_es
pipe_noun_en	tubería_noun_es
supplementation_noun_en	suplementación_noun_es
variator_noun_en	variador_noun_es
duran_duran_propernoun_en	duran_duran_propernoun_es
mishap_noun_en	percance_noun_es
saponite_noun_en	saponita_noun_es
valid_adjective_en	válido_adjective_es
deal_noun_en	trato_noun_es
keep_verb_en	mantener_verb_es
chaplain_noun_en	capellán_noun_es
threshold_noun_en	umbral_noun_es
epigram_noun_en	epigrama_noun_es
face_noun_en	faz_noun_es
shot_noun_en	disparo_noun_es
combat_verb_en	combatir_verb_es
mascara_noun_en	rímel_noun_es
cohabit_verb_en	cohabitar_verb_es
hopeful_adjective_en	esperanzador_adjective_es
budgetary_adjective_en	presupuestario_adjective_es
column_noun_en	columna_noun_es
excitation_noun_en	excitación_noun_es
hepatomegaly_noun_en	hepatomegalia_noun_es
mcclancy_propernoun_en	mcclancy_propernoun_es
drinkable_adjective_en	potable_adjective_es
sherbet_noun_en	sorbete_noun_es
enthusiast_noun_en	entusiasta_noun_es
radio_beacon_noun_en	radiobaliza_noun_es
hipparchus_propernoun_en	hiparco_propernoun_es
homologation_noun_en	homologación_noun_es
bus_driver_noun_en	chófer_de_autobús_noun_es
movement_noun_en	movimiento_noun_es
daunting_adjective_en	intimidante_adjective_es
apprenticeship_noun_en	aprendizaje_noun_es
arrive_verb_en	arribar_verb_es
thales_propernoun_en	tales_de_mileto_propernoun_es
pascal_noun_en	pascal_noun_es
hospitality_industry_noun_en	hostelería_noun_es
to_be_serious_adverb_en	seriamente_adverb_es
with_one_accord_adverb_en	de_mutuo_acuerdo_adverb_es
european_people's_party_propernoun_en	partido_popular_europeo_propernoun_es
without_no_loss_of_preposition_en	sin_menoscabo_de_preposition_es
remove_verb_en	sacar_verb_es
impound_verb_en	embargar_verb_es
spontaneously_adverb_en	espontáneamente_adverb_es
sarajevo_propernoun_en	sarajevo_propernoun_es
flake_noun_en	escama_noun_es
now_and_then_adverb_en	de_vez_en_cuando_adverb_es
pogrom_noun_en	pogromo_noun_es
shopping_precinct_noun_en	centro_comercial_noun_es
pyramid_selling_noun_en	venta_piramidal_noun_es
without_further_ado_subordinatingconjunction_en	sin_otro_particular_subordinatingconjunction_es
casting_vote_noun_en	voto_de_calidad_noun_es
basketball_noun_en	básquet_noun_es
r&d_noun_en	i+d+i_noun_es
marc_propernoun_en	marc_propernoun_es
oil_reserve_noun_en	reserva_de_petróleo_noun_es
but_the_early_worm_was_eaten_subordinatingconjunction_en	no_por_mucho_madrugar_amanece_más_temprano_subordinatingconjunction_es
freshwater_adjective_en	de_agua_dulce_adjective_es
marcano_propernoun_en	marcano_propernoun_es
youngster_noun_en	joven_noun_es
diesel_noun_en	diésel_noun_es
exceedingly_adverb_en	extremadamente_adverb_es
leach_verb_en	lixiviar_verb_es
enrichment_noun_en	enriquecimiento_noun_es
left-wing_noun_en	izquierda_noun_es
higgins_propernoun_en	higgins_propernoun_es
neuropsychology_noun_en	neuropsicología_noun_es
anglo-saxon_noun_en	anglosajón_noun_es
indignation_noun_en	indignación_noun_es
parker_propernoun_en	parker_propernoun_es
semaphore_noun_en	semáforo_noun_es
free_verb_en	liberar_verb_es
in_a_trice_adverb_en	en_un_santiamén_adverb_es
bishopric_noun_en	obispado_noun_es
aries_propernoun_en	aries_propernoun_es
prevail_verb_en	prevaler_verb_es
suspenders_noun_en	tirante_noun_es
celebrate_verb_en	festejar_verb_es
ink_noun_en	tinta_noun_es
omnipresence_noun_en	omnipresencia_noun_es
appreciable_adjective_en	apreciable_adjective_es
encounter_noun_en	encuentro_noun_es
resident_adjective_en	residente_adjective_es
there_is_verb_en	hay_verb_es
valet_noun_en	ayuda_de_cámara_noun_es
nucleus_noun_en	núcleo_noun_es
describe_verb_en	describir_verb_es
anything_pronoun_en	cualquier_cosa_pronoun_es
cash_purchase_noun_en	compra_al_contado_noun_es
polygamy_noun_en	poligamia_noun_es
anaesthetic_noun_en	anestésico_noun_es
shopping_trolley_noun_en	carro_de_la_compra_noun_es
hungarian_adjective_en	húngaro_adjective_es
focus_verb_en	enfocar_verb_es
sock_noun_en	calcetín_noun_es
rudimentary_adjective_en	rudimentario_adjective_es
astrology_noun_en	astrología_noun_es
interception_noun_en	interceptación_noun_es
shipwreck_noun_en	naufragio_noun_es
get_much_bigger_verb_en	agigantarse_verb_es
baroque_adjective_en	barroco_adjective_es
munich_propernoun_en	múnich_propernoun_es
socioeconomic_adjective_en	socioeconómico_adjective_es
painless_adjective_en	indoloro_adjective_es
seeing_eye_dog_noun_en	perro_guía_noun_es
so_that_subordinatingconjunction_en	a_fin_de_que_subordinatingconjunction_es
rider_noun_en	cláusula_noun_es
range_verb_en	oscilar_verb_es
detonation_noun_en	detonación_noun_es
de_valderrama_propernoun_en	de_valderrama_propernoun_es
headphones_noun_en	auriculares_noun_es
quadric_adjective_en	cuádrica_adjective_es
old-fashioned_adjective_en	anticuado_adjective_es
inform_verb_en	informar_verb_es
turn_up_verb_en	aparecer_verb_es
indifferently_adverb_en	con_indiferencia_adverb_es
madridejos_propernoun_en	madridejos_propernoun_es
density_noun_en	densidad_noun_es
mark_propernoun_en	mark_propernoun_es
humification_noun_en	humificación_noun_es
romance_adjective_en	románico_adjective_es
hairdresser_noun_en	peluquero_noun_es
pack_verb_en	envasar_verb_es
design_verb_en	diseñar_verb_es
aptly_adverb_en	acertadamente_adverb_es
unfair_adjective_en	injusto_adjective_es
depreciation_noun_en	depreciación_noun_es
haymarket_propernoun_en	haymarket_propernoun_es
national_high_court's_edict_noun_en	auto_de_la_audiencia_nacional_noun_es
loop_noun_en	bucle_noun_es
warden_noun_en	alcaide_noun_es
rise_noun_en	subida_noun_es
libel_verb_en	calumniar_verb_es
self-supervision_noun_en	autocontrol_noun_es
roman_noun_en	romano_noun_es
squad_noun_en	pelotón_noun_es
evacuate_verb_en	evacuar_verb_es
eyelash_noun_en	pestaña_noun_es
saver_noun_en	ahorrativo_noun_es
jamaica_propernoun_en	jamaica_propernoun_es
inkwell_noun_en	tintero_noun_es
icelandic_noun_en	islandés_noun_es
warm_verb_en	calentar_verb_es
down_to_the_last_detail_subordinatingconjunction_en	con_puntos_y_comas_subordinatingconjunction_es
web_noun_en	telaraña_noun_es
birefringent_adjective_en	birrefringente_adjective_es
spin_verb_en	girar_verb_es
yeltsin_propernoun_en	yeltsin_propernoun_es
scenography_noun_en	escenografía_noun_es
surreptitious_adjective_en	subrepticio_adjective_es
therapeutic_adjective_en	terapéutico_adjective_es
bank_failure_noun_en	falla_bancaria_noun_es
agglutinative_adjective_en	aglutinante_adjective_es
panicle_noun_en	panícula_noun_es
letter_noun_en	carta_noun_es
latest_news_noun_en	últimas_noticias_noun_es
seal_noun_en	foca_noun_es
subrogation_noun_en	subrogación_noun_es
adrift_adjective_en	a_la_deriva_adjective_es
precedent_noun_en	precedente_noun_es
eyeliner_noun_en	delineador_noun_es
amenity_noun_en	amenidad_noun_es
clergyman_noun_en	eclesiástico_noun_es
kill_verb_en	victimar_verb_es
nato_adjective_en	de_la_otan_adjective_es
apprehensive_adjective_en	aprensivo_adjective_es
autobiographical_adjective_en	autobiográfico_adjective_es
insane_adjective_en	demente_adjective_es
large_adjective_en	grande_adjective_es
lieutenant_noun_en	lugarteniente_noun_es
employer_noun_en	empresario_noun_es
gallicism_noun_en	galicismo_noun_es
hotel_deal_noun_en	oferta_de_hoteles_noun_es
ardourously_adverb_en	ardentísimamente_adverb_es
rotatory_adjective_en	rotatorio_adjective_es
semiotic_adjective_en	semiótico_adjective_es
onerous_adjective_en	oneroso_adjective_es
dysentery_noun_en	disentería_noun_es
most_pronoun_en	la_mayoría_de_pronoun_es
most_determiner_en	la_mayoría_de_determiner_es
most_pronoun_en	la_mayoría_de_pronoun_es
most_determiner_en	la_mayoría_de_determiner_es
most_pronoun_en	la_mayoría_de_pronoun_es
most_determiner_en	la_mayoría_de_determiner_es
most_pronoun_en	la_mayoría_de_pronoun_es
most_determiner_en	la_mayoría_de_determiner_es
distillery_noun_en	destilería_noun_es
unhappy_adjective_en	infeliz_adjective_es
vilnius_propernoun_en	vilna_propernoun_es
represent_verb_en	representar_verb_es
psychoanalysis_noun_en	psicoanálisis_noun_es
collation_noun_en	colación_noun_es
feasibility_noun_en	viabilidad_noun_es
izquierdo_propernoun_en	izquierdo_propernoun_es
or_vice_versa_adverb_en	o_viceversa_adverb_es
coll_propernoun_en	coll_propernoun_es
master_noun_en	amo_noun_es
cunt_noun_en	coño_noun_es
swell_noun_en	marejada_noun_es
box_verb_en	boxear_verb_es
cut_across_verb_en	atajar_verb_es
cuatro_vientos_propernoun_en	cuatro_vientos_propernoun_es
labour_noun_en	trabajo_noun_es
steam_noun_en	vapor_noun_es
crimson_adjective_en	carmesí_adjective_es
mononucleotid_noun_en	mononucleótido_noun_es
near_at_hand_adverb_en	al_alcance_adverb_es
reprieve_noun_en	indulto_noun_es
technologically_adverb_en	tecnológicamente_adverb_es
prompt_adjective_en	pronto_adjective_es
ethyl_noun_en	etilo_noun_es
canoeist_noun_en	piragüista_noun_es
aftermath_noun_en	consecuencia_noun_es
electroencephalography_noun_en	electroencefalografía_noun_es
underdeveloped_adjective_en	subdesarrollado_adjective_es
futility_noun_en	futilidad_noun_es
pot_noun_en	tarro_noun_es
possession_noun_en	posesión_noun_es
mediate_verb_en	intermediar_verb_es
languagetool_propernoun_en	languagetool_propernoun_es
telegraphy_noun_en	telegrafía_noun_es
slow_verb_en	retrasar_verb_es
caricaturist_noun_en	caricaturista_noun_es
anthem_noun_en	himno_noun_es
metamorphism_noun_en	metamorfismo_noun_es
lithium_route_propernoun_en	ruta_lithium_propernoun_es
anthropological_adjective_en	antropológico_adjective_es
have_lunch_verb_en	almorzar_verb_es
introduce_verb_en	introducir_verb_es
myosin_noun_en	miosina_noun_es
be_supported_verb_en	mantenerse_verb_es
be_faced_with_verb_en	estar_frente_a_verb_es
to_little_avail_adverb_en	en_balde_adverb_es
jacobinism_noun_en	jacobinismo_noun_es
law_noun_en	derecho_noun_es
breed_noun_en	raza_noun_es
back-water_turn_noun_en	ciaboga_noun_es
hand-held_adjective_en	de_mano_adjective_es
every_now_and_again_adverb_en	continuamente_adverb_es
costa_brava_propernoun_en	costa_brava_propernoun_es
phyllis_propernoun_en	phyllis_propernoun_es
bush_propernoun_en	bush_propernoun_es
feline_adjective_en	felino_adjective_es
model_noun_en	maqueta_noun_es
liaison_noun_en	enlace_noun_es
negotiation_noun_en	negociación_noun_es
thatcher_propernoun_en	thatcher_propernoun_es
some_determiner_en	cierto_determiner_es
some_determiner_en	cierto_determiner_es
afghanistan_propernoun_en	afganistán_propernoun_es
subalpine_adjective_en	subalpino_adjective_es
curry_noun_en	curry_noun_es
rabbit_noun_en	conejo_noun_es
