waiting-for_preposition_en	esperando-a_preposition_es
labour-unionist_noun_en	sindicalista_noun_es
there's-no-time-like-the-present_interjection_en	no-hay-tiempo-como-el-presente_interjection_es
cornelian_noun_en	cornalina_noun_es
sapper-squad_propernoun_en	escuadrilla-de-zapadores_propernoun_es
autograph_noun_en	autógrafo_noun_es
saxophone_noun_en	saxófono_noun_es
scroll-up_verb_en	desplazar-hacia-arriba_verb_es
almodóvar_propernoun_en	almodóvar_propernoun_es
naked_adjective_en	en-cueros_adjective_es
historical_adjective_en	histórico_adjective_es
creativity_noun_en	creatividad_noun_es
travel-around_verb_en	hacer-turismo_verb_es
polyvalent_adjective_en	polivalente_adjective_es
guava_noun_en	guayaba_noun_es
for-the-most-part_adverb_en	mayoritariamente_adverb_es
point-blank_adverb_en	a-quemarropa_adverb_es
folk-art_noun_en	arte-popular_noun_es
promenade_noun_en	paseo_noun_es
tarpaulin_noun_en	acierto_noun_es
anatomically_adverb_en	anatómicamente_adverb_es
parade_verb_en	desfilar_verb_es
censorship_noun_en	censura_noun_es
card_noun_en	documento_noun_es
alright_adverb_en	bien_adverb_es
reign_verb_en	reinar_verb_es
barbershop_noun_en	barbería_noun_es
carob-seed_noun_en	semilla-de-algarrobo_noun_es
microfilm_noun_en	microfilm_noun_es
requisition_verb_en	requisar_verb_es
gratification_noun_en	gratificación_noun_es
diluent_noun_en	diluyente_noun_es
slope_noun_en	ladera_noun_es
bandeira_noun_en	bandeira_noun_es
oceanography_noun_en	oceanografía_noun_es
christianity_noun_en	cristianismo_noun_es
jewish_adjective_en	judío_adjective_es
home-office_propernoun_en	ministerio-del-interior_propernoun_es
mauritius_propernoun_en	mauricio_propernoun_es
chorizo_noun_en	chorizo_noun_es
polish_verb_en	lustrar_verb_es
oenology_noun_en	enología_noun_es
barbarism_noun_en	barbarie_noun_es
bullfighting-amateur_noun_en	aficionado-taurino_noun_es
cosby_propernoun_en	cosby_propernoun_es
toughen_verb_en	endurecer_verb_es
slippery_adjective_en	resbaladizo_adjective_es
electricity_noun_en	electricidad_noun_es
condemnatory_adjective_en	condenatorio_adjective_es
save_verb_en	salvar_verb_es
deceive_verb_en	engañar_verb_es
shimmer_noun_en	brillo_noun_es
heterocyclic_adjective_en	heterocíclico_adjective_es
monogamist_adjective_en	monógamo_adjective_es
floor_noun_en	suelo_noun_es
lymphocyte_noun_en	linfocito_noun_es
reward_noun_en	retribución_noun_es
nilpotent_adjective_en	nilpotente_adjective_es
fierce_adjective_en	feroz_adjective_es
nucleosynthesis_noun_en	nucleosíntesis_noun_es
de-la-fuente_propernoun_en	de-la-fuente_propernoun_es
discrimination_noun_en	discriminación_noun_es
synonymity_noun_en	sinonimia_noun_es
digestion_noun_en	digestión_noun_es
cleansing_adjective_en	limpiador_adjective_es
adaptedly_adverb_en	adaptadamente_adverb_es
globin_noun_en	globina_noun_es
next-august_adverb_en	el-próximo-agosto_adverb_es
plate_noun_en	placa_noun_es
indiana_propernoun_en	indiana_propernoun_es
casting_noun_en	fundición_noun_es
word_noun_en	vocablo_noun_es
transonic_adjective_en	transónico_adjective_es
fencing_noun_en	esgrima_noun_es
bulging-eye_noun_en	ojo-de-besugo_noun_es
satin_noun_en	satén_noun_es
enforcement_noun_en	aplicación_noun_es
height_noun_en	estatura_noun_es
undo_verb_en	deshacer_verb_es
palermo_propernoun_en	palermo_propernoun_es
safety-boot_noun_en	bota-de-seguridad_noun_es
meddle_verb_en	inmiscuirse_verb_es
joxemi_propernoun_en	joxemi_propernoun_es
swimming_noun_en	natación_noun_es
persuade_verb_en	persuadir_verb_es
confidentially_adverb_en	confidencialmente_adverb_es
litigate_verb_en	pelear_verb_es
valuable_adjective_en	valioso_adjective_es
nephew_noun_en	sobrino_noun_es
certifiably_adverb_en	certificadamente_adverb_es
informally_adverb_en	informalmente_adverb_es
abolish_verb_en	abolir_verb_es
homology_noun_en	homología_noun_es
catalyst_noun_en	catalizador_noun_es
recruitment-office_noun_en	oficina-de-contratación_noun_es
infanticide_noun_en	infanticidio_noun_es
metalloid_noun_en	metaloide_noun_es
opponent_noun_en	oponente_noun_es
buffet_noun_en	bufete_noun_es
international-security-assistance-force_propernoun_en	fuerza-internacional-de-asistencia-para-la-seguridad_propernoun_es
obstetrician_noun_en	obstetra_noun_es
length_noun_en	longitud_noun_es
jaxybekov_propernoun_en	jaxybekov_propernoun_es
one-million_numeral_en	un-millón-de_numeral_es
rhombohedral_adjective_en	romboédrico_adjective_es
gamma-ray_noun_en	rayo-gamma_noun_es
ammonia_noun_en	amoníaco_noun_es
association-of-manufacturers_noun_en	asociación-de-fabricantes_noun_es
advance_verb_en	adelantar_verb_es
regional_adjective_en	regional_adjective_es
aviator_noun_en	aviador_noun_es
hold-on-to_verb_en	agarrarse-a_verb_es
wire_noun_en	cable_noun_es
come-away_verb_en	apartarse_verb_es
grandson_noun_en	nieto_noun_es
coffin_noun_en	ataúd_noun_es
elitism_noun_en	elitismo_noun_es
hooke_propernoun_en	hooke_propernoun_es
monogram_noun_en	monograma_noun_es
manacle_verb_en	maniatar_verb_es
symbolisation_noun_en	simbolización_noun_es
consent_noun_en	consentimiento_noun_es
wait_verb_en	aguardar_verb_es
convergence_noun_en	convergencia_noun_es
subject_adjective_en	sujeto_adjective_es
tip_verb_en	verter_verb_es
bibliodoc_propernoun_en	bibliodoc_propernoun_es
family_noun_en	familia_noun_es
matrix_adjective_en	matricial_adjective_es
in-the-aftermath_adverb_en	en-el-periodo-posterior_adverb_es
sign_verb_en	firmar_verb_es
season_verb_en	adobar_verb_es
soapy_adjective_en	jabonoso_adjective_es
pursuit_noun_en	persecución_noun_es
dose_noun_en	dosis_noun_es
point-of-no-return_noun_en	punto-de-no-retorno_noun_es
collegiate_adjective_en	colegiado_adjective_es
enlistment_noun_en	alistamiento_noun_es
gold-coast_propernoun_en	costa-de-oro_propernoun_es
napkin_noun_en	servilleta_noun_es
pleural_adjective_en	pleural_adjective_es
exposure_noun_en	exposición_noun_es
canadian_adjective_en	canadiense_adjective_es
perception_noun_en	percepción_noun_es
spearhead_verb_en	encabezar_verb_es
f-18_propernoun_en	f-18_propernoun_es
sabotage_noun_en	sabotaje_noun_es
bag_noun_en	bolsa_noun_es
castellana_propernoun_en	castellana_propernoun_es
eighteenth_determiner_en	decimoctavo_determiner_es
experiment_noun_en	experimento_noun_es
minor-infringement_noun_en	infracción-leve_noun_es
metropolitan_adjective_en	metropolitano_adjective_es
mass_verb_en	concentrar_verb_es
barracks_noun_en	cuartel_noun_es
right-here_adverb_en	aquí-mismo_adverb_es
liane_noun_en	liana_noun_es
royal-palace-of-madrid_propernoun_en	palacio-real-de-madrid_propernoun_es
at-first_adverb_en	al-principio_adverb_es
treasure_verb_en	atesorar_verb_es
gutiérrez_propernoun_en	gutiérrez_propernoun_es
aggregated_adjective_en	agregado_adjective_es
marine-expeditionary-forces_propernoun_en	fuerzas-expedicionarias-de-infantería-de-marina_propernoun_es
minifundium_noun_en	minifundio_noun_es
roundly_adverb_en	rotundamente_adverb_es
mimesis_noun_en	mímesis_noun_es
practitioner_noun_en	practicante_noun_es
cerebral_adjective_en	cerebral_adjective_es
cry_verb_en	gritar_verb_es
north-island_propernoun_en	isla-norte_propernoun_es
carlota_propernoun_en	carlota_propernoun_es
clairvoyance_noun_en	clarividencia_noun_es
ninety_numeral_en	noventa_numeral_es
adherent_noun_en	partidario_noun_es
potentiometer_noun_en	potenciómetro_noun_es
chime_noun_en	repique_noun_es
inspect_verb_en	inspeccionar_verb_es
inside_adverb_en	por-dentro_adverb_es
nebraska_propernoun_en	nebraska_propernoun_es
theologian_noun_en	teólogo_noun_es
unblock_verb_en	desbloquear_verb_es
reshuffle_noun_en	reajuste_noun_es
examination_noun_en	examen_noun_es
dependence_noun_en	dependencia_noun_es
footpath_noun_en	acera_noun_es
must_noun_en	mosto_noun_es
ambulance_noun_en	ambulancia_noun_es
naval_adjective_en	naval_adjective_es
familiarity_noun_en	familiaridad_noun_es
fellow_adjective_en	amigo_adjective_es
bug_noun_en	micrófono-oculto_noun_es
adjectivalisation_noun_en	adjetivación_noun_es
pretoria_propernoun_en	pretoria_propernoun_es
fund_verb_en	financiar_verb_es
rust_verb_en	enmohecer_verb_es
finance_noun_en	finanza_noun_es
come-in_verb_en	entrar_verb_es
unless_subordinatingconjunction_en	a-no-ser-que_subordinatingconjunction_es
proximal_adjective_en	proximal_adjective_es
sailor_adjective_en	marinero_adjective_es
gastric_adjective_en	gástrico_adjective_es
haven_noun_en	puerto_noun_es
melilla_propernoun_en	melilla_propernoun_es
watch_noun_en	reloj_noun_es
nourishment_noun_en	nutrimento_noun_es
rate_noun_en	tasa_noun_es
imprecision_noun_en	imprecisión_noun_es
belly_noun_en	panza_noun_es
eukaryotic_adjective_en	eucariota_adjective_es
centrifugation_noun_en	centrifugación_noun_es
electrode_noun_en	electrodo_noun_es
monitor_verb_en	controlar_verb_es
employment_noun_en	empleo_noun_es
burrow_noun_en	conejera_noun_es
flocculation_noun_en	floculación_noun_es
rosette_noun_en	roseta_noun_es
predictable_adjective_en	predecible_adjective_es
rhinoceros_noun_en	rinoceronte_noun_es
alps_propernoun_en	alpes_propernoun_es
human-soft_propernoun_en	human-soft_propernoun_es
examination_noun_en	interrogatorio_noun_es
communiqué_noun_en	comunicado_noun_es
brevier_noun_en	breviario_noun_es
kid_noun_en	niño_noun_es
bully_noun_en	matón_noun_es
opponent_noun_en	contrincante_noun_es
polyandry_noun_en	poliandria_noun_es
referee's-decision_noun_en	laudo-arbitral_noun_es
inquiry_noun_en	consulta_noun_es
confine_verb_en	confinar_verb_es
iconic_adjective_en	icónico_adjective_es
migratory_adjective_en	migratorio_adjective_es
domenech_propernoun_en	domenech_propernoun_es
course-of-the-river_noun_en	curso-del-río_noun_es
giménez_propernoun_en	giménez_propernoun_es
homophone_noun_en	homófono_noun_es
isotherm_noun_en	isoterma_noun_es
hangover_noun_en	resaca_noun_es
peter-martyr-d'anghiera_propernoun_en	pedro-mártir-de-anglería_propernoun_es
grosso-modo_adverb_en	grosso-modo_adverb_es
surprising_adjective_en	sorprendente_adjective_es
root_verb_en	radicar_verb_es
news_adjective_en	noticioso_adjective_es
race-start_noun_en	inicio-de-carrera_noun_es
septicemia_noun_en	septicemia_noun_es
teaching_noun_en	impartición_noun_es
rubber_noun_en	caucho_noun_es
mark_noun_en	marca_noun_es
equilibrium_noun_en	equilibrio_noun_es
aftertaste_noun_en	regusto_noun_es
polyurethane_noun_en	poliuretano_noun_es
gloss_noun_en	glosa_noun_es
skywards_adverb_en	hacia-el-cielo_adverb_es
put-up-for-sale_verb_en	poner-a-la-venta_verb_es
printable_adjective_en	imprimible_adjective_es
any_pronoun_en	alguno_pronoun_es
any_determiner_en	alguno_determiner_es
any_pronoun_en	alguno_pronoun_es
environment_noun_en	ambiente_noun_es
celebration_noun_en	festejo_noun_es
feedback_noun_en	retroalimentación_noun_es
parody_noun_en	parodia_noun_es
concello-de-ogrove_propernoun_en	concello-de-ogrove_propernoun_es
omnivorous_adjective_en	omnívoro_adjective_es
skyscraper_noun_en	rascacielos_noun_es
get-into-knots_verb_en	anudarse_verb_es
drug-gang_noun_en	banda-de-narcotraficantes_noun_es
eighty_numeral_en	ocho_numeral_es
facebook_propernoun_en	facebook_propernoun_es
among_preposition_en	entre_preposition_es
dipper_noun_en	cucharón_noun_es
eunuch_noun_en	eunuco_noun_es
embark_verb_en	embarcar_verb_es
quadrilateral_noun_en	cuadrilátero_noun_es
drug-trafficker_noun_en	narco_noun_es
against-my-will_adverb_en	en-contra-de-mi-voluntad_adverb_es
push_verb_en	apechugar_verb_es
millionth_determiner_en	millonésimo_determiner_es
proscription_noun_en	proscripción_noun_es
transistor_noun_en	transistor_noun_es
unimodular_adjective_en	unimodular_adjective_es
alpine_adjective_en	alpino_adjective_es
prohibition_noun_en	prohibición_noun_es
declination_noun_en	declinación_noun_es
absolve_verb_en	absolver_verb_es
brotherhood_noun_en	hermandad_noun_es
sainz-de-la-maza_propernoun_en	sainz-de-la-maza_propernoun_es
view_verb_en	ver_verb_es
retell_verb_en	volver-a-contar_verb_es
increase_verb_en	acrecentar_verb_es
frattini_propernoun_en	frattini_propernoun_es
writing_noun_en	escrito_noun_es
sixteen-thousand_numeral_en	dieciséis-mil_numeral_es
be-ready_verb_en	estar-a-punto_verb_es
recommendation_noun_en	recomendación_noun_es
fiduciary_adjective_en	fiduciario_adjective_es
diploic_adjective_en	diploico_adjective_es
bravely_adverb_en	con-valentía_adverb_es
flange_noun_en	reborde_noun_es
acceleration_noun_en	aceleración_noun_es
mate_verb_en	aparear_verb_es
thermostable_adjective_en	termoestable_adjective_es
bubble_noun_en	burbuja_noun_es
family-allowance_noun_en	ayuda-familiar_noun_es
forestry_noun_en	silvicultura_noun_es
settle_verb_en	posarse_verb_es
greenness_noun_en	verdor_noun_es
stake_noun_en	apuesta_noun_es
collector_noun_en	coleccionista_noun_es
hit_noun_en	éxito_noun_es
association_noun_en	asociación_noun_es
at-gunpoint_adverb_en	a-punta-de-pistola_adverb_es
employee_noun_en	asalariado_noun_es
rank_noun_en	graduación_noun_es
hypocrisy_noun_en	hipocresía_noun_es
manner_noun_en	manera_noun_es
le-pen_propernoun_en	le-pen_propernoun_es
node_noun_en	nodo_noun_es
numerical_adjective_en	numérico_adjective_es
stool_noun_en	taburete_noun_es
mercy_noun_en	piedad_noun_es
fuzzy_adjective_en	borroso_adjective_es
deposit_verb_en	depositar_verb_es
antimatter_noun_en	antimateria_noun_es
recklessly_adverb_en	temerariamente_adverb_es
synod_noun_en	sínodo_noun_es
naturhouse_propernoun_en	naturhouse_propernoun_es
coplanar_adjective_en	coplanar_adjective_es
curd_noun_en	requesón_noun_es
frighten-off_verb_en	ahuyentar_verb_es
zenith_noun_en	zenit_noun_es
secrets-on-black_propernoun_en	secretos-sobre-negro_propernoun_es
shimmer_verb_en	rielar_verb_es
palaeontology_noun_en	paleontología_noun_es
in-black-and-white_adverb_en	en-blanco-y-negro_adverb_es
tactfully_adverb_en	discretamente_adverb_es
stepmother_noun_en	madrastra_noun_es
uefa_noun_en	uefa_noun_es
insectivore_noun_en	insectívoro_noun_es
terrine_noun_en	terrina_noun_es
in-general-terms_adverb_en	en-términos-generales_adverb_es
forever_adverb_en	para-siempre_adverb_es
tab_noun_en	tabulador_noun_es
disarmament_noun_en	desarme_noun_es
proof_noun_en	constancia_noun_es
nobelium_noun_en	nobelio_noun_es
dragonfly_noun_en	libélula_noun_es
dock_noun_en	muelle_noun_es
hologram_noun_en	holograma_noun_es
round-up_noun_en	rodeo_noun_es
head-butt_noun_en	testarazo_noun_es
time-and-time-again_adverb_en	repetidamente_adverb_es
spoilage_noun_en	maculatura_noun_es
jumbo_noun_en	jumbo_noun_es
iniquity_noun_en	iniquidad_noun_es
what_relativepronoun_en	lo-que_relativepronoun_es
what_pronoun_en	lo-que_pronoun_es
bonanza_noun_en	bonanza_noun_es
relevant-data_noun_en	dato-coyuntural_noun_es
stuff_noun_en	material_noun_es
saurian_noun_en	saurio_noun_es
periphrastic_adjective_en	perifrástico_adjective_es
crazily_adverb_en	alocadamente_adverb_es
attempt_noun_en	intento_noun_es
tortoise_noun_en	tortuga_noun_es
peace-treaty_noun_en	tratado-de-paz_noun_es
elm_noun_en	olmo_noun_es
statute-of-autonomy-of-catalonia_propernoun_en	estatuto-de-autonomía-de-cataluña_propernoun_es
today-it-must_subordinatingconjunction_en	hoy-toca_subordinatingconjunction_es
follow-up_noun_en	seguimiento_noun_es
documentary_noun_en	documental_noun_es
thereafter_adverb_en	después_adverb_es
the-last-time_adverb_en	la-última-vez_adverb_es
loxodromy_noun_en	loxodromia_noun_es
fire-off_verb_en	disparar_verb_es
gain_verb_en	obtener_verb_es
progression_noun_en	progresión_noun_es
angle_noun_en	ángulo_noun_es
incompetence_noun_en	incompetencia_noun_es
budget-for-grants_noun_en	fondo-para-becas_noun_es
musculoskeletal_adjective_en	musculoesquelético_adjective_es
conduct_noun_en	conducta_noun_es
inside_noun_en	interior_noun_es
informant_noun_en	informante_noun_es
depreciable_adjective_en	amortizable_adjective_es
strut_noun_en	puntal_noun_es
classify_verb_en	clasificar_verb_es
watch_verb_en	mirar_verb_es
amino-acid_noun_en	aminoácido_noun_es
in-a-courtly-manner_adverb_en	cortesanamente_adverb_es
donut_noun_en	donut_noun_es
demise_noun_en	defunción_noun_es
sublimity_noun_en	sublimidad_noun_es
decadent_adjective_en	decadente_adjective_es
by-order-of_preposition_en	por-orden-de_preposition_es
halftone_noun_en	tramado_noun_es
stimulation_noun_en	estimulación_noun_es
fibric_adjective_en	fíbrico_adjective_es
hailstorm_noun_en	granizada_noun_es
remainder_noun_en	resto_noun_es
librarianship_noun_en	biblioteconomía_noun_es
offside_adverb_en	offside_adverb_es
interregnum_noun_en	interregno_noun_es
attractive_adjective_en	atractivo_adjective_es
out-of-sorts_adverb_en	de-capa-caída_adverb_es
menstruation_noun_en	menstruación_noun_es
value_noun_en	valor_noun_es
implicit_adjective_en	implícito_adjective_es
overnight_adverb_en	por-la-noche_adverb_es
very_adverb_en	bien_adverb_es
methanol_noun_en	metanol_noun_es
smash_verb_en	apachurrar_verb_es
desinence_noun_en	desinencia_noun_es
brush_noun_en	cepillo_noun_es
cap_noun_en	gorro_noun_es
orphan_noun_en	huérfano_noun_es
solvent_adjective_en	solvente_adjective_es
recently_adverb_en	recién_adverb_es
hellenic_adjective_en	helénico_adjective_es
morphine_noun_en	morfina_noun_es
offer_verb_en	ofertar_verb_es
pacify_verb_en	pacificar_verb_es
incite_verb_en	incitar_verb_es
king-of-the-jungle_noun_en	rey-de-las-selvas_noun_es
scoop_noun_en	exclusiva_noun_es
particular-attention_noun_en	atención-especial_noun_es
restitution_noun_en	restitución_noun_es
worker_noun_en	obrero_noun_es
destructively_adverb_en	destructivamente_adverb_es
aghast_adjective_en	aterrado_adjective_es
interparadigmatic_adjective_en	interparadigmático_adjective_es
humanity_noun_en	humanidad_noun_es
export-sale_noun_en	venta-de-exportación_noun_es
solis_propernoun_en	solis_propernoun_es
insurable_adjective_en	asegurable_adjective_es
contraction_noun_en	contracción_noun_es
greedy_adjective_en	codicioso_adjective_es
hillside_noun_en	ladera_noun_es
improvement_noun_en	perfeccionamiento_noun_es
computation_noun_en	cómputo_noun_es
coating_noun_en	recubrimiento_noun_es
zorzo_propernoun_en	zorzo_propernoun_es
graduate_noun_en	licenciado_noun_es
many-hands-make-light-work_interjection_en	el-trabajo-compartido-es-más-llevadero_interjection_es
charitable_adjective_en	benéfico_adjective_es
court-order_noun_en	orden-judicial_noun_es
accused_noun_en	acusado_noun_es
irregularly_adverb_en	irregularmente_adverb_es
actuate_verb_en	activar_verb_es
castilianisation_noun_en	castellanización_noun_es
exchange_noun_en	cambio_noun_es
hollow_adjective_en	vacío_adjective_es
solid_adjective_en	sin-fisuras_adjective_es
provident-fund_noun_en	fondo-de-previsión_noun_es
steadily_adverb_en	firmemente_adverb_es
wisely_adverb_en	sabiamente_adverb_es
with-regard-to_preposition_en	respecto-a_preposition_es
cochlea_noun_en	cóclea_noun_es
superman_noun_en	superhombre_noun_es
volleyball_noun_en	voleibol_noun_es
tally_noun_en	cuenta_noun_es
innocent_adjective_en	inocente_adjective_es
intensive_adjective_en	intensivo_adjective_es
catalonia_propernoun_en	cataluña_propernoun_es
peafowl_noun_en	pavo-real_noun_es
sauce_noun_en	salsa_noun_es
somewhere_adverb_en	a-algún-lugar_adverb_es
cousin_noun_en	primo_noun_es
student-protest_noun_en	protesta-estudiantil_noun_es
convert_verb_en	convertir_verb_es
narthex_noun_en	nártex_noun_es
fuckin'-eh_interjection_en	de-puta-madre_interjection_es
in-alphabetical-order_adverb_en	por-orden-alfabético_adverb_es
metallica_propernoun_en	metallica_propernoun_es
wrath_noun_en	ira_noun_es
novice_noun_en	novato_noun_es
rail_noun_en	barra_noun_es
trifle_noun_en	bagatela_noun_es
my_adjective_en	mío_adjective_es
my_possessivepronoun_en	mío_possessivepronoun_es
my_pronoun_en	mío_pronoun_es
my_possessivepronoun_en	mío_possessivepronoun_es
my_determiner_en	mío_determiner_es
my_possessivepronoun_en	mío_possessivepronoun_es
my_determiner_en	mío_determiner_es
snob_noun_en	esnob_noun_es
meaningful_adjective_en	significativo_adjective_es
lunchtime_noun_en	hora-de-comer_noun_es
urology_noun_en	urología_noun_es
kerb_noun_en	bordillo_noun_es
lepidopteron_noun_en	lepidóptero_noun_es
jerrycan_noun_en	bidón_noun_es
johansson_propernoun_en	johansson_propernoun_es
purge_noun_en	purga_noun_es
support_verb_en	apoyar_verb_es
recall_verb_en	recordar_verb_es
quantification_noun_en	cuantificación_noun_es
command_verb_en	mandar_verb_es
chavez_propernoun_en	chavez_propernoun_es
throughout_preposition_en	durante_preposition_es
hyperonym_noun_en	hiperónimo_noun_es
sarcoplasm_noun_en	sarcoplasma_noun_es
disperse_verb_en	dispersar_verb_es
o'dwyer_propernoun_en	o'dwyer_propernoun_es
alvarez_propernoun_en	alvarez_propernoun_es
granite_noun_en	granito_noun_es
philology_noun_en	filología_noun_es
in-a-minute_adverb_en	en-un-minuto_adverb_es
pin_noun_en	alfiler_noun_es
spiral_noun_en	espiral_noun_es
from-hondarribia_adjective_en	hondarribiarra_adjective_es
shirt_noun_en	camisa_noun_es
rna_noun_en	arn_noun_es
vinyl_noun_en	vinilo_noun_es
exothermic_adjective_en	exotérmico_adjective_es
indistinctly_adverb_en	indistintamente_adverb_es
rescue-party_noun_en	equipo-de-rescate_noun_es
bar_noun_en	pastilla_noun_es
rush-forward_verb_en	arremeter_verb_es
edge_noun_en	filo_noun_es
by-dint-of_preposition_en	a-fuerza-de_preposition_es
martin_propernoun_en	martin_propernoun_es
trading_adjective_en	comercial_adjective_es
chat_verb_en	charlar_verb_es
oar_noun_en	remo_noun_es
moyá_propernoun_en	moyá_propernoun_es
margaret_propernoun_en	margaret_propernoun_es
ahead_adverb_en	adelante_adverb_es
chili-pepper_noun_en	chile_noun_es
machine_noun_en	máquina_noun_es
high_adverb_en	alto_adverb_es
physiological_adjective_en	fisiológico_adjective_es
gibson_propernoun_en	gibson_propernoun_es
contador_propernoun_en	contador_propernoun_es
solely_adverb_en	sólo_adverb_es
harrowing_adjective_en	desgarrador_adjective_es
tour_noun_en	visita_noun_es
neologism_noun_en	neologismo_noun_es
riverside-park_propernoun_en	riverside-park_propernoun_es
ghost-of-christmas-present_propernoun_en	espectro-de-la-navidad-presente_propernoun_es
northeastern_adjective_en	nororiental_adjective_es
position_noun_en	puesto_noun_es
susceptible_adjective_en	susceptible_adjective_es
vulnerable_adjective_en	vulnerable_adjective_es
amenorrhoea_noun_en	amenorrea_noun_es
address_verb_en	direccionar_verb_es
incompatible_adjective_en	incompatible_adjective_es
school_noun_en	escuela_noun_es
linguistic_adjective_en	lingüístico_adjective_es
illicitly_adverb_en	ilícitamente_adverb_es
zonation_noun_en	zonación_noun_es
lineage_noun_en	apellido_noun_es
deny_verb_en	negar_verb_es
behaviour_noun_en	conducta_noun_es
policeman_noun_en	policía_noun_es
fanatical_adjective_en	fanático_adjective_es
vitoria-gasteiz_propernoun_en	vitoria-gasteiz_propernoun_es
talk-muddled_verb_en	hablar-confusamente_verb_es
perish_verb_en	perecer_verb_es
wrong-side-out_adverb_en	al-revés_adverb_es
trachoma_noun_en	tracoma_noun_es
admit_verb_en	admitir_verb_es
distance_noun_en	trayecto_noun_es
dictionary_noun_en	diccionario_noun_es
marketplace_noun_en	mercado_noun_es
quickly_adverb_en	deprisa_adverb_es
bergamot-oil_noun_en	aceite-de-bergamota_noun_es
hemimembrane_noun_en	hemimembrana_noun_es
back-to-front_adverb_en	al-revés_adverb_es
riot_verb_en	amotinarse_verb_es
vandal_noun_en	vándalo_noun_es
since_preposition_en	desde_preposition_es
for-aye_adverb_en	para-siempre_adverb_es
sea-bass_noun_en	lubina_noun_es
middle-finger_noun_en	dedo-medio_noun_es
european-union-forces_propernoun_en	fuerzas-de-la-unión-europea_propernoun_es
oil-well_noun_en	pozo-petrolífero_noun_es
espionage_noun_en	espionaje_noun_es
foolishness_noun_en	tontería_noun_es
ring_noun_en	sortija_noun_es
invoke_verb_en	invocar_verb_es
becerril_propernoun_en	becerril_propernoun_es
waste_verb_en	malgastar_verb_es
entirely_adverb_en	enteramente_adverb_es
earnings_noun_en	ingreso_noun_es
curtain_noun_en	telón_noun_es
eightieth_determiner_en	octogésimo_determiner_es
money_noun_en	dinero_noun_es
flu-virus_noun_en	virus-de-influenza_noun_es
cellular_adjective_en	celular_adjective_es
adventurer_noun_en	aventurero_noun_es
designation_noun_en	designación_noun_es
do-the-shopping_verb_en	hacer-las-compras_verb_es
comparison_noun_en	contraposición_noun_es
invasion_noun_en	invasión_noun_es
diagram_noun_en	esquema_noun_es
turn-sour_verb_en	agriar_verb_es
shaft_noun_en	hueco_noun_es
radio-astronomy_noun_en	radioastronomía_noun_es
ark_noun_en	arca_noun_es
biologically_adverb_en	biológicamente_adverb_es
get-obsessed_verb_en	obsesionarse_verb_es
interposition_noun_en	interposición_noun_es
certificate-of-conformity_noun_en	declaración-de-conformidad_noun_es
obituary_noun_en	necrología_noun_es
record-player_noun_en	tocadiscos_noun_es
website_noun_en	website_noun_es
entrance_noun_en	entrada_noun_es
carefully_adverb_en	con-detenimiento_adverb_es
command_noun_en	dominio_noun_es
public_adjective_en	público_adjective_es
emerge_verb_en	aflorar_verb_es
prevail_verb_en	primar_verb_es
knock-down_verb_en	abatir_verb_es
riding-school_noun_en	escuela-de-equitación_noun_es
discipline_noun_en	disciplina_noun_es
should_modal_en	tener-que_modal_es
truck-driver_noun_en	camionero_noun_es
coil_verb_en	enrollar_verb_es
next-august_adverb_en	agosto-que-viene_adverb_es
raticide_noun_en	raticida_noun_es
living-being_noun_en	ser-vivo_noun_es
tubular_adjective_en	tubular_adjective_es
multinational-battalion_propernoun_en	batallón-multinacional_propernoun_es
mum_noun_en	mamá_noun_es
vibrator_noun_en	vibrador_noun_es
rain_noun_en	lluvia_noun_es
break_noun_en	quebrantamiento_noun_es
artur_propernoun_en	artur_propernoun_es
idempotent_adjective_en	idempotente_adjective_es
flickr_propernoun_en	flickr_propernoun_es
scarce_adjective_en	escaso_adjective_es
paradigmatic_adjective_en	paradigmático_adjective_es
mellow_adjective_en	dulce_adjective_es
contrast_noun_en	contraste_noun_es
abad-corrales_propernoun_en	abad-corrales_propernoun_es
sickle_noun_en	hoz_noun_es
obviously_adverb_en	evidentemente_adverb_es
office_noun_en	secretaría_noun_es
reflect_verb_en	plasmar_verb_es
distribute_verb_en	distribuir_verb_es
contrapositive_adjective_en	contrapositivo_adjective_es
concurrence_noun_en	concurrencia_noun_es
threaten_verb_en	acechar_verb_es
fatten_verb_en	engordar_verb_es
colonel_noun_en	coronel_noun_es
signpost_verb_en	señalizar_verb_es
pheromone_noun_en	feromona_noun_es
supporting_adjective_en	de-apoyo_adjective_es
probe_noun_en	sonda_noun_es
morphogenesis_noun_en	morfogénesis_noun_es
ethical-investment-fund_noun_en	fondo-ético_noun_es
travelling-saleswoman_noun_en	viajante_noun_es
faithless_adjective_en	descreído_adjective_es
orchestra_noun_en	orquesta_noun_es
home-made_adjective_en	casero_adjective_es
everyone_pronoun_en	todo-el-mundo_pronoun_es
geographic_adjective_en	geográfico_adjective_es
oneiric_adjective_en	onírico_adjective_es
ainhoa_propernoun_en	ainhoa_propernoun_es
fire-brigade_noun_en	brigada-de-bomberos_noun_es
nave_noun_en	nave_noun_es
elizabeth_propernoun_en	elizabeth_propernoun_es
maximal_adjective_en	máximo_adjective_es
videoconference_noun_en	videoconferencia_noun_es
tightness_noun_en	tirantez_noun_es
most_adverb_en	más_adverb_es
musicology_noun_en	musicología_noun_es
